order_id,date,product,category,region,customer_id,quantity,unit_price,revenue
ORD-000001,2024-04-12,Alpha Phone,Electronics,LATAM,CUST-01186,3,782.32,2346.96
ORD-000002,2025-03-11,Epsilon Laptop,Computers,West,CUST-00301,3,901.66,2704.98
ORD-000003,2024-09-27,Zeta Headphones,Accessories,LATAM,CUST-00306,7,158.74,1111.18
ORD-000004,2024-04-16,Beta Phone,Electronics,West,CUST-00002,2,593.98,1187.96
ORD-000005,2024-03-12,Kappa Keyboard,Accessories,East,CUST-00271,3,76.61,229.83
ORD-000006,2024-01-21,Iota Speaker,Accessories,South,CUST-00421,2,105.39,210.78
ORD-000007,2025-09-06,Eta Smartwatch,Accessories,North,CUST-01167,4,204.91,819.64
ORD-000008,2024-05-01,Epsilon Laptop,Computers,EMEA,CUST-00700,4,861.23,3444.92
ORD-000009,2025-04-11,Epsilon Laptop,Computers,North,CUST-00864,3,961.09,2883.27
ORD-000010,2024-08-02,Eta Smartwatch,Accessories,East,CUST-00960,5,198.73,993.65
ORD-000011,2024-11-26,Zeta Headphones,Accessories,EMEA,CUST-00994,3,148.95,446.85
ORD-000012,2025-04-03,Alpha Phone,Electronics,East,CUST-01010,4,875.16,3500.64
ORD-000013,2024-03-28,Zeta Headphones,Accessories,South,CUST-00879,3,162.32,486.96
ORD-000014,2025-01-07,Theta Camera,Electronics,APAC,CUST-00692,3,679.22,2037.66
ORD-000015,2024-04-09,Epsilon Laptop,Computers,LATAM,CUST-00867,2,834.38,1668.76
ORD-000016,2024-05-10,Alpha Phone,Electronics,North,CUST-01061,4,771.14,3084.56
ORD-000017,2024-11-04,Theta Camera,Electronics,South,CUST-00107,4,633.36,2533.44
ORD-000018,2024-12-09,Beta Phone,Electronics,LATAM,CUST-01121,3,586.8,1760.4
ORD-000019,2025-05-06,Gamma Tablet,Electronics,North,CUST-00281,1,488.57,488.57
ORD-000020,2025-02-17,Beta Phone,Electronics,LATAM,CUST-01134,2,706.24,1412.48
ORD-000021,2025-01-20,Delta Laptop,Computers,North,CUST-00549,2,1288.05,2576.1
ORD-000022,2024-07-10,Theta Camera,Electronics,LATAM,CUST-00552,6,700.6,4203.6
ORD-000023,2024-10-03,Zeta Headphones,Accessories,East,CUST-00188,2,150.94,301.88
ORD-000024,2024-06-09,Beta Phone,Electronics,LATAM,CUST-00752,4,584.87,2339.48
ORD-000025,2025-04-04,Iota Speaker,Accessories,East,CUST-00870,3,93.37,280.11
ORD-000026,2024-11-09,Iota Speaker,Accessories,EMEA,CUST-00019,4,89.59,358.36
ORD-000027,2024-01-22,Iota Speaker,Accessories,North,CUST-00859,5,104.04,520.2
ORD-000028,2024-09-09,Gamma Tablet,Electronics,South,CUST-00985,4,463.64,1854.56
ORD-000029,2025-07-14,Epsilon Laptop,Computers,APAC,CUST-00410,4,965.35,3861.4
ORD-000030,2025-04-19,Kappa Keyboard,Accessories,EMEA,CUST-00484,3,81.26,243.78
ORD-000031,2024-02-28,Theta Camera,Electronics,LATAM,CUST-00624,4,661.17,2644.68
ORD-000032,2025-05-25,Alpha Phone,Electronics,West,CUST-00656,3,744.3,2232.9
ORD-000033,2025-04-20,Alpha Phone,Electronics,LATAM,CUST-00768,3,819.39,2458.17
ORD-000034,2024-07-08,Epsilon Laptop,Computers,West,CUST-00018,6,971.07,5826.42
ORD-000035,2025-07-16,Iota Speaker,Accessories,LATAM,CUST-00184,5,103.32,516.6
ORD-000036,2025-07-20,Zeta Headphones,Accessories,LATAM,CUST-00405,2,144.49,288.98
ORD-000037,2024-08-31,Zeta Headphones,Accessories,East,CUST-00799,3,151.6,454.8
ORD-000038,2025-05-19,Alpha Phone,Electronics,LATAM,CUST-01155,4,768.76,3075.04
ORD-000039,2024-05-10,Eta Smartwatch,Accessories,APAC,CUST-00479,3,218.87,656.61
ORD-000040,2025-04-29,Iota Speaker,Accessories,South,CUST-00008,3,103.93,311.79
ORD-000041,2024-01-21,Delta Laptop,Computers,EMEA,CUST-00705,1,1226.43,1226.43
ORD-000042,2024-06-15,Theta Camera,Electronics,North,CUST-01160,4,688.27,2753.08
ORD-000043,2024-09-30,Kappa Keyboard,Accessories,APAC,CUST-00531,3,80.87,242.61
ORD-000044,2025-01-22,Beta Phone,Electronics,South,CUST-00913,4,628.44,2513.76
ORD-000045,2025-08-23,Zeta Headphones,Accessories,North,CUST-00689,3,134.96,404.88
ORD-000046,2024-11-11,Gamma Tablet,Electronics,West,CUST-01035,4,488.53,1954.12
ORD-000047,2024-01-14,Theta Camera,Electronics,EMEA,CUST-00553,3,759.18,2277.54
ORD-000048,2024-08-29,Zeta Headphones,Accessories,APAC,CUST-00446,3,152.76,458.28
ORD-000049,2024-12-11,Eta Smartwatch,Accessories,LATAM,CUST-01138,3,182.44,547.32
ORD-000050,2025-07-18,Theta Camera,Electronics,West,CUST-00706,4,752.82,3011.28
ORD-000051,2024-12-05,Delta Laptop,Computers,North,CUST-00196,3,1143.58,3430.74
ORD-000052,2024-04-01,Kappa Keyboard,Accessories,APAC,CUST-00860,2,74.95,149.9
ORD-000053,2025-01-01,Zeta Headphones,Accessories,EMEA,CUST-00628,2,142.95,285.9
ORD-000054,2025-03-30,Beta Phone,Electronics,West,CUST-00981,4,659.02,2636.08
ORD-000055,2025-03-03,Eta Smartwatch,Accessories,East,CUST-00630,1,200.78,200.78
ORD-000056,2025-05-23,Theta Camera,Electronics,West,CUST-01189,1,697.8,697.8
ORD-000057,2024-02-04,Gamma Tablet,Electronics,East,CUST-00044,4,520.71,2082.84
ORD-000058,2024-07-24,Iota Speaker,Accessories,APAC,CUST-00489,3,95.37,286.11
ORD-000059,2024-03-21,Iota Speaker,Accessories,EMEA,CUST-00181,3,104.58,313.74
ORD-000060,2025-07-15,Gamma Tablet,Electronics,LATAM,CUST-01101,1,466.6,466.6
ORD-000061,2025-01-22,Kappa Keyboard,Accessories,EMEA,CUST-00374,3,83.47,250.41
ORD-000062,2024-01-02,Beta Phone,Electronics,South,CUST-00628,2,670.26,1340.52
ORD-000063,2025-01-24,Beta Phone,Electronics,APAC,CUST-00957,3,672.78,2018.34
ORD-000064,2025-07-19,Beta Phone,Electronics,EMEA,CUST-00067,4,646.61,2586.44
ORD-000065,2024-04-15,Iota Speaker,Accessories,South,CUST-01116,2,102.31,204.62
ORD-000066,2025-04-21,Eta Smartwatch,Accessories,EMEA,CUST-00779,6,182.28,1093.68
ORD-000067,2025-02-05,Beta Phone,Electronics,East,CUST-00651,2,694.63,1389.26
ORD-000068,2025-07-09,Epsilon Laptop,Computers,APAC,CUST-00341,3,819.09,2457.27
